"wd_id","wd_id_new","population","name_ar","name_bn","name_de","name_en","name_es","name_fr","name_el","name_hi","name_hu","name_id","name_it","name_ja","name_ko","name_nl","name_pl","name_pt","name_ru","name_sv","name_tr","name_vi","name_zh"
"Q1052532","","","","","Cedar Lake","Cedar Lake","Lago Cedar","lac des Cèdres","","","","","Cedar Lake","シーダー湖","","Cedar Lake","Cedar","Lago Cedar","Сидар","Cedar Lake","","","錫達湖"
"Q1060962","","","","","Chamosee","Lake Chamo","Lago Chamo","lac Chamo","","","","","lago Ciamò","","","Chamomeer","","Lago Chamo","Чамо","Ch'amo Hāyk'","","","查莫湖"
"Q1125601","","","","","Chjargas Nuur","Khyargas Nuur","Lago Khyargas","lac Khyargas","","","","","Hjargas nuur","キヤールガス・ヌール","","Khyargas Nuur","Chjargas nuur","Lago Khyargas","Хяргас-Нуур","","","Hồ Khyargas","吉爾吉斯湖"
"Q1347588","","","","","Lake Pukaki","Lake Pukaki","","lac Pukaki","","","","","","プカキ湖","푸카키 호수","Lake Pukaki","Pukaki","","Пукаки","Lake Pukaki","","","普卡基湖"
"Q1349516","","","","","Lake Ohau","Lake Ohau","Lago Ohau","","","","","","","オハウ湖","오하우 호수","Ohaumeer","Ohau","","Охау","Lake Ohau","","","奧豪湖"
"Q1328792","","","","","réservoir Cabonga","Cabonga Reservoir","","réservoir Cabonga","","","","","réservoir Cabonga","","","","","","","réservoir Cabonga","","","卡邦加水庫"
"Q1330203","","","","","réservoir Dozois","Dozois Reservoir","réservoir Dozois","réservoir Dozois","","","","","réservoir Dozois","","","réservoir Dozois","","","","Réservoir Dozois","","","多祖瓦水庫"
"Q1194022","","","بحيرة تيكابو","","Lake Tekapo","Lake Tekapo","Lago Tékapo","lac Tekapo","","","","","","テカポ湖","테카포 호수","Lake Tekapo","Tekapo","","Текапо","Lake Tekapo","","Hồ Tekapo","特卡波湖"
"Q1431500","","","","","Krementschuker Stausee","Kremenchuk Reservoir","Embalse de Kremenchuk","réservoir de Krementchouk","","","","","","","","Kremenchuk Reservoir","Zbiornik Kremieńczucki","","Кременчугское водохранилище","Krementjukdammen","","","克列緬丘格水庫"
"Q1440634","","","","","Lake Hāwea","Lake Hawea","Lago Hawea","lac Hawea","","","","","","ハウェア湖","","Lake Hawea","Hawea","","Хавеа","Lake Hāwea","","","哈威亞湖"
"Q1464758","","","","","Lago Enriquillo","Lake Enriquillo","Lago Enriquillo","lac Enriquillo","","","Enriquillo-tó","","lago Enriquillo","エンリキージョ湖","","Enriquillomeer","Enriquillo","Lago Enriquillo","Энрикильо","Lago Enriquillo","","","恩里基湖"
"Q1539726","","","","","Smallwood Reservoir","Smallwood Reservoir","Embalse de Smallwood","réservoir Smallwood","","","","","Bacino Smallwood","","","Smallwood Reservoir","","Albufeira de Smallwood","Смолвуд","Smallwoodreservoaren","","","斯莫爾伍德水庫"
"Q1471254","","","","","Réservoir Pipmuacan","Pipmuacan Reservoir","","réservoir Pipmuacan","","","","","","","","","","","","Réservoir Pipmuacan","","","皮普馬康水庫"
"Q1445991","","","","","","Khar Lake","Khar Nuur","","","","","","Har Nuur","","","","Char nuur","Lago Khar","Хар-Нуур","","","Khar Nuur","哈爾湖"
"Q1638191","","","","","Lake Disappointment","Lake Disappointment","Lago Disappointment","lac Disappointment","","","","","","ディサポイントメント湖","디서포인트먼트 호","Lake Disappointment","Jezioro Disappointment","","Дисаппойнтмент","Lake Disappointment","","","失望湖"
"Q1540136","","","خزان Gouin","","Gouin-Stausee","Gouin Reservoir","Embalse Gouin","réservoir Gouin","","","","","Bacino Gouin","","","Gouin Reservoir","","","","Réservoir Gouin","","","古安水庫"
"Q1540436","","","","","Kachowkaer Stausee","Kakhovka Reservoir","Embalse de Kajovka","réservoir de Kakhovka","","","","","","","","Kakhovka Reservoir","Zbiornik Kachowski","","Каховское водохранилище","","","Hồ chứa nước Kakhovka","卡霍夫卡水庫"
"Q4151226","","","","","","","","","","","","","","","","","","","Гуаньтин","Guanting Shuiku","","","官厅水库"
"Q6477226","","","","","","Lake Oroville","","lac Oroville","","","","","","","","Lake Oroville","","","Оровилл","Oroville dammen","","","奧羅維爾湖"
"Q6132621","","","","","Nam-Ngum-Talsperre","Nam Ngum Dam","","","","","","","","ナムグムダム","","Ang Nam Ngum","","","","Nam Ngum Dam","","","南俄大壩"
"Q3295796","","","","","Laniersee","Lake Lanier","Lago Lanier","","","","","","","","","Lake Lanier","","Lago Lanier","","Lake Lanier","","","拉尼爾湖"
"Q2179011","","","","","Réservoir La Grande 3","Réservoir La Grande 3","","réservoir La Grande 3","","","","","","","","","","","","Réservoir La Grande 3","","",""
"Q1465138","","","","","Lake Barlee","Lake Barlee","Lago Barlee","lac Barlee","","","","","","バーリー湖","","Lake Barlee","Barlee","","","Lake Barlee","","",""
"Q4634","","","","","Lake Coleridge","Lake Coleridge","Coleridge","lac Coleridge","","","","","lago Coleridge","コールリッジ湖","","Lake Coleridge","Coleridge","","Колридж","","","","科爾里奇湖"
"Q917385","","","","","Lake Benmore","Lake Benmore","","lac Benmore","","","","","","","","Lake Benmore","","","Бенмор","","","","本莫爾湖"
"Q4269","","","","","Lake Poteriteri","Lake Poteriteri","Poteriteri","lac Poteriteri","","","Poteriteri","","lago Poteriteri","ポテリテリ湖","","Lake Poteriteri","","","Потеритери","","","","波特里特里湖"
"Q4272","","","","","Lake Waikaremoana","Lake Waikaremoana","Waikaremoana","lac Waikaremoana","","","","","lago Waikaremoana","ワイカレモアナ湖","","Lake Waikaremoana","","","Уаикаремоана","","","","懷卡雷莫阿納湖"
"Q590903","","","","","Lake Wairarapa","Lake Wairarapa","","Lake Wairarapa","","","","","","","","Lake Wairarapa","Wairarapa","Lago Wairarapa","Уаирарапа","","","","懷拉拉帕湖"
"Q1800949","","","","","Lake Hauroko","Lake Hauroko","Lago Hauroko","lac Hauroko","","","Hauroko","","","ハウロコ湖","","Lake Hauroko","Hauroko","","Хауроко","","","","豪羅科湖"
"Q1271947","","","","","Lake Monowai","Lake Monowai","","Lake Monowai","","","","","","モノワイ湖","","Lake Monowai","","","Моноваи","","","","莫諾懷湖"
"Q1192621","","","","","Lake Rotorua","Lake Rotorua","","lac Rotorua","Λίμνη Ροτορούα","","Rotoruai-tó","","","ロトルア湖","로토루아 호수","Lake Rotorua","Rotorua","","Роторуа","","","","羅托魯阿湖"
"Q1303872","","","","","Lake Dunstan","Lake Dunstan","","Lake Dunstan","","","","","","","","Lake Dunstan","","","Данстан","","","",""
"Q1801067","","","","","Lake Rotoiti","Lake Rotoiti","","lac Rotoiti","","","","","","ロトイチ湖","","Lake Rotoiti","","Lago Rotoiti","","","","",""
"Q940488","","","","","Saint Marys River","St. Marys River","Río St. Marys","rivière Sainte-Marie","","","","","Fiume Saint Marys","セントマリー川","","St. Marys River","St. Marys","Rio Saint Mary's","Сент-Мэрис","Saint Marys River","","",""
