"wd_id","wd_id_new","population","name_ar","name_bn","name_de","name_en","name_es","name_fr","name_el","name_hi","name_hu","name_id","name_it","name_ja","name_ko","name_nl","name_pl","name_pt","name_ru","name_sv","name_tr","name_vi","name_zh"
"Q503368","","","","","Carrantuohill","Carrauntoohil","Carrantuohill","Carrauntuohill","Καραντούελ","","","","Carrantuohill","キャラントゥール山","","Carrauntoohil","Carrantuohill","Carrauntoohil","Карантуилл","Carrauntoohill","Carrauntoohil","","卡朗圖厄爾山"
"Q385753","","","","","Punta La Marmora","","Punta La Marmora","Punta La Marmora","","","","","punta La Marmora","マルモラ山","","Punta La Marmora","La Marmora","Punta La Marmora","","","","","拉馬爾摩拉峰"
"Q507179","","","","","Cereme","Gunung Cereme","Monte Ceremai","Ciremai","","","","Gunung Ceremai","","","","Cereme","Cereme","","Чареме","Gunung Cereme","","","澤勒邁火山"
"Q104674","","","جبل بن نيفيس","","Ben Nevis","Ben Nevis","Ben Nevis","Ben Nevis","","","Ben Nevis","Ben Nevis","Ben Nevis","ベン・ネビス山","벤네비스 산","Ben Nevis","Ben Nevis","Ben Nevis","Бен-Невис","Ben Nevis","Ben Nevis","Ben Nevis","本尼维斯山"
"Q818467","","","","","Tajumulco","Volcán Tajumulco","Volcán Tajumulco","Tajumulco","","टाजुमुल्को","Tajumulco","","Tajumulco","タフムルコ山","타후물코 산","Tajumulco","Tajumulco","Monte Tajumulco","Тахумулько","Volcán Tajumulco","Tajumulco Yanardağı","","塔胡木耳科火山"
"Q819979","","","","","Olympos","Mount Olympus","Monte Olimpo","mont Olympe","Όλυμπος","","Ólimbosz","","Olimpo","オリンポス山","","Olympus","Olimp","Monte Olimpo","Олимбос","Olympus","Olimpos Tepesi","","奥林匹斯山"
"Q587189","","","","","Puig Major","Puig Major","Puig Major","Puig Major","","","Puig Major","","","プッジ・マジョー","","Puig Major","Puig Major","","Пуч-Майор","Puig Major","","","馬佐爾峰"
"Q758574","","","","","Aucanquilcha","Aucanquilcha","Volcán Aucanquilcha","Aucanquilcha","","","","","","アウカンキルチャ","","Aucanquilcha","Aucanquilcha","","Ауканкильча","Cerro Aucanquilcha","","","奧坎基爾查峰"
"Q140084","","","","","Hvannadalshnúkur","Hvannadalshnúkur","Hvannadalshnjúkur","Hvannadalshnjúkur","Χβαννανταλσνγιούκουρ","","Hvannadalshnúkur","","Hvannadalshnjúkur","クヴァンナダルスフニュークル","크반나달스흐누퀴르 산","Hvannadalshnúkur","Hvannadalshnúkur","Hvannadalshnúkur","Хваннадальсхнукюр","Hvannadalshnjúkur","","","華納達爾斯赫努克火山"
"Q131230","","","مونا كيا","","Mauna Kea","Mauna Kea","Mauna Kea","Mauna Kea","Μάουνα Κέα","","Mauna Kea","Mauna Kea","Mauna Kea","マウナ・ケア山","마우나케아 산","Mauna Kea","Mauna Kea","Mauna Kea","Мауна-Кеа","Mauna Kea","","Mauna Kea","冒纳凯阿火山"
