"wd_id","wd_id_new","population","name_ar","name_bn","name_de","name_en","name_es","name_fr","name_el","name_hi","name_hu","name_id","name_it","name_ja","name_ko","name_nl","name_pl","name_pt","name_ru","name_sv","name_tr","name_vi","name_zh"
"Q14426","","","بحيرة ثون","","Thunersee","Lake Thun","Thun","lac de Thoune","","","Thuni-tó","Danau Thun","lago di Thun","トゥーン湖","","Meer van Thun","Thun","Lago de Thun","Тунское озеро","Thunsjön","","","图恩湖"
"Q14418","","","","","Luganersee","Lake Lugano","Lago de Lugano","lac de Lugano","Λίμνη Λουγκάνο","","Luganói-tó","Danau Lugano","lago di Lugano","ルガーノ湖","루가노 호","Meer van Lugano","Lugano","Lago de Lugano","Лугано","Luganosjön","Lugano Gölü","Hồ Lugano","盧加諾湖"
"Q14436","","","","","Zugersee","Lake Zug","Lago de Zug","lac de Zoug","","","Zugi-tó","","lago di Zugo","ツーク湖","추크 호","Meer van Zug","Zug","Lago de Zug","Цугское озеро","Zugsjön","","","楚格湖"
"Q14442","","","بحيرة برينز","","Brienzersee","Lake Brienz","Lago de Brienz","lac de Brienz","","","Brienzi-tó","","lago di Brienz","ブリエンツ湖","","Meer van Brienz","Brienz","Lago de Brienz","Бриенцское озеро","Brienzsjön","","","布里恩茨湖"
"Q14444","","","","","Walensee","Walensee","Lago de Walen","lac de Walenstadt","","","Walensee","","lago di Walen","ヴァレン湖","","Walenmeer","Walensee","Lago Walen","Валензе","Walensee","","","瓦伦湖"
"Q14448","","","","","Murtensee","Lake Murten","Lago de Murten/Morat","lac de Morat","","","Murteni-tó","","lago di Morat","ムルテン湖","무르텐 호","Meer van Murten","","Lago Murten","Муртенское озеро","Murtensee","","","穆尔滕湖"
"Q15523","","","بحيرة كومو","","Comer See","Lake Como","Lago de Como","lac de Côme","λίμνη Κόμο","","Comói-tó","Danau Como","lago di Como","コモ湖","코모 호","Comomeer","Como","Lago de Como","Комо","Comosjön","Como Gölü","Hồ Como","科莫湖"
"Q117036","","","","","Schotosero","Shotozero","","","","","","","","","","Sjotozero","","","Шотозеро","","","","紹托澤羅湖"
"Q15648","","","","","Iseosee","Lake Iseo","Lago Iseo","lac d'Iseo","","","Iseói-tó","","lago d'Iseo","イゼーオ湖","","Iseomeer","Iseo","Lago de Iseo","Изео","Iseosjön","","Hồ Iseo","伊塞奧湖"
"Q158077","","","بحيرة","","Dojransee","Dojran Lake","Lago Doiran","lac Doïran","Δοϊράνη","","","","lago Dojran","ドイラン湖","","Doiranmeer","Dojran","","Дойранское озеро","Dojransjön","Doyran Gölü","","多伊蘭湖"
